abv,image,name,official_content,origin,url,winery,year
54.2%,https://ip.distiller.com/images/spirits/3a91ea80-4761-0132-a6e3-0266af8722d3/four_roses_single_barrel_2014_tile.jpg?1415309202,Four Roses Limited Edition Single Barrel Bourbon (2014),"The recipe used for this Four Roses Limited Edition Single Barrel Bourbon (2014) is the brand's OESF. This means the mash bill was 75% corn, 20% rye, 5% barley mash-bill and the yeast strain they use is one that highlights herbal notes. Bottled at 56.7% abv. This single barrel bourbon is 11 years old and bottled at 56.7% ABV."," Kentucky, USA
",https://distiller.com/spirits/four-roses-bourbon-single-barrel-2014,"
Four Roses ",11 Years
59.8%,https://ip.distiller.com/images/spirits/60978800-8588-0132-f124-5ae0af5970b7/four-roses-single-barrel-2013_tile.jpg?1424449298,Four Roses Limited Edition Single Barrel Bourbon (2013),"It is bottled using the distillery's OBSK recipe which uses a mash bill that has a higher rye content for a bourbon (60% corn, 35% rye, 5% malted barley) and also a yeast strain that highlights a spicy, full bodied whiskey. Variations may occur as is the nature of single barrel bourbons. The bottle that was tasted was from warehouse B5 and Barrel No. 3-3B. It was bottled at 59.8% and was aged for 13 years.
"," Kentucky, USA
",https://distiller.com/spirits/four-roses-single-barrel-2013,"
Four Roses ",13 Year
43.0%,https://ip.distiller.com/images/spirits/35822060-518a-0132-5bd3-4ecce4ba707e/the-macallan-rare-cask_tile.jpg?1416501824,The Macallan Rare Cask,"Macallan Master Blender Bob Dalgarno selected the barrels that go into Rare Cask from mostly first fill sherry casks that have been maturing at the distillery. Of more than 1000 barrels, aged in ""... the industry's finest most exclusive and expensive casks,"" only 1% of the whiskies made the cut and were chosen for their color and depth of flavor. The bottles are presented in a swank gatefold box."," Highlands, Scotland
",https://distiller.com/spirits/macallan-rare-cask,"
The Macallan ",NAS
43.0%,https://ip.distiller.com/images/spirits/0b368ef0-27b3-0132-7a24-5ee4a9b8b9e5/macallan_fine_oak_21_tile.jpg?1411955533,The Macallan Fine Oak 21 Year,"The Macallan Fine Oak series are aged in a combination of intricate wood finishes. For the 21 Year, the single malt whisky was aged in Spanish oak seasoned with sherry, American oak seasoned with sherry and American oak seasoned with bourbon."," Highlands, Scotland
",https://distiller.com/spirits/the-macallan-fine-oak-21,"
The Macallan ",21 Year
48.7%,https://ip.distiller.com/images/spirits/2c9cc7d0-876b-0135-3473-3edf6dc1e499/bowmore_26_tile.jpg?1507079948,Bowmore Vintner's Trilogy 26 Year French Oak Barrique,"Released as part of Bowmore's Vintner's Trilogy, this 26 year-old single malt aged in Bowmore's No. 1 Vaults in two types of barrels. For the first 13 years, it matured in ex-bourbon barrels. The whisky then transferred to former wine barriques for the last 13 years. Bottled at a cask-strength of 48.7% ABV, it is available beginning October 2017. "," Islay, Scotland
",https://distiller.com/spirits/bowmore-26-year-wine-matured,"
Bowmore ",26 Year
58.1%,https://ip.distiller.com/images/spirits/bdc1b000-a8ad-0136-2a6d-7edc0c336646/bunnahabhain_2008_moine_bordeaux_red_wine_cask_tile.jpg?1544211941,Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured,"Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured is was fully matured in Bordeaux red wine casks rather than just being finished in them. The single malt was aged for nearly 10 years before bottling in 2018. Mòine is Scots Gaelic for ""peated"" so expect this to be smokier than the brand's standard offerings. Bottled at a cask strength of 58.1% ABV without added color or chill-filtration. "," Islay, Scotland
",https://distiller.com/spirits/bunnahabhain-2008-moine-bordeaux-red-wine-cask-matured,"
Bunnahabhain ",9 Year
45.0%,https://ip.distiller.com/images/spirits/8b677260-6f1a-0135-4552-4a25c911964f/btac_2017_sazerac_tile.jpg?1505836144,Sazerac Rye 18 Year (Fall 2017),"This rye whiskey contains a mashbill of Minnesota rye, Kentucky corn, and North Dakota malted barley. Distilled to 135 proof in the spring of 1998, the rye whiskey entered the barrel at 125 proof. It matured for 18 years in new, charred American oak barrels on the second floor of Warehouse K. Only 25 barrels make up this batch. Note: this rye was placed in stainless-steel tanks in 2016 to prevent further aging. It is 90 proof at bottling. 
"," Kentucky, USA
",https://distiller.com/spirits/sazerac-rye-18-year-fall-2017,"
Sazerac Rye ",18 Year
40.0%,https://ip.distiller.com/images/spirits/364c3880-0387-0134-8caf-4e6c3953646c/ardbeg_17_tile.jpg?1470098699,Ardbeg 17 Year,"An ancient distillery, Ardbeg was founded in 1794, passing through various hands until being mothballed in 1976 by Canadian distiller Hiram Walker & Sons in 1976, and then again by Allied Lyons in 1987. The distillery sat quiet for 10 years after that, slowly gathering dust before being bought by Glenmorangie Plc in 1997, which was later acquired by LVMH. This 17 Year bottling is a rare find on retail shelves; your best bet is through auction houses or fine bar establishments."," Islay, Scotland
",https://distiller.com/spirits/ardbeg-17-year,"
Ardbeg ",17 Year
64.6%,https://ip.distiller.com/images/spirits/fee5c4b0-1a96-0132-975b-1a5d32c7a74d/thomas-h-handy-sazerac-straight-rye-2014_tile.jpg?1410451112,Thomas H. Handy Sazerac Rye (Fall 2014),This is the high proof rye of the 5 whiskeys known as the Antique Collection. It is named after the New Orleans bartender who first used rye in the Sazerac cocktail. This release was distilled in the spring of 2008 and aged on the 5th floor of Warehouse M. Highly recommended with a drop or two of water to let the flavors develop.," Kentucky, USA
",https://distiller.com/spirits/thomas-h-handy-sazerac-rye-fall-2014,"
Buffalo Trace ",NAS
48.0%,https://ip.distiller.com/images/spirits/438dcde0-e070-0131-ef2b-1ab03dbca12e/parkers_heritage_promise_of_hope_tile.jpg?1404345842,Parker's Heritage Promise of Hope,"For the past several years, Heaven Hill Distillery has released a limited edition bourbon to honor their Master Distiller, Parker Beam. The 2013 release comes with a sad announcement that Mr. Beam has been diagnosed with ALS (Amyotrophic Lateral Sclerosis, a.k.a. Lou Gehrig's Disease.) For every bottle sold, $20 goes to the Promise of Hope fund to benefit this disease in Beam's name. As for the whiskey itself, it comes from selected barrels from Beam's supposedly favorite warehouse, Rickhouse EE in Deatsville."," Kentucky, USA
",https://distiller.com/spirits/parker-s-heritage-promise-of-hope,"
Heaven Hill ",10 years
43.0%,https://ip.distiller.com/images/spirits/35977a60-bbe6-0133-a406-16a648e409b7/hibiki_30_year_tile.jpg?1456182122,Hibiki 30 Year,"This blended whisky is comprised of single malts from Yamazaki and Hakushu distilleries and single grain from Chita distillery. The bottle is thoughtfully designed with 30 facets, representing each year of its slow and patient maturation in a variety of oak barrels. This expression is hard to come by and produced in very limited quantities."," Japan
",https://distiller.com/spirits/hibiki-30-year,"
Hibiki ",30 Year
46.7%,https://ip.distiller.com/images/spirits/0b707c00-58e3-0133-d7bc-6a5be1060817/laphroaig_32_year_tile.jpg?1445869987,Laphroaig 32 Year,"2015 is the 200th anniversary of Laphroaig Distillery, located on Islay. To commemorate this most festive occasion, they have released this very rare bottling of its blue fire-peated whisky that's taken a healthy nap in ex-Oloroso sherry casks. These were selected for this release by Distillery Manager John Campbell."," Islay, Scotland
",https://distiller.com/spirits/laphroaig-32-year,"
Laphroaig ",32 Year
43.0%,https://ip.distiller.com/images/spirits/a8645d80-4b48-0133-747f-5ac590f54aa6/glenmoranige_1970%2527s_collection_%252777_tile.jpg?1444142240,Glenmorangie 1970's Collection '77,"The 1977 entrant of the 1970s Collection was distilled between April and June of that year, and was first bottled at 21 years of age on September 11, 1998. More of that whisky was kept to age longer though, including for a 28 year old release in 2005, of which this remains. The only member of the 1970s Collection not made from the distillery's own maltings, which had ceased in the summer of 1976.
"," Highlands, Scotland
",https://distiller.com/spirits/glenmorangie-1970-s-collection-77,"
Glenmorangie ",
51.3%,https://ip.distiller.com/images/spirits/1fd8a827-344b-468a-a04c-6641296491e9/laphroaig_cairdeas_port_wood_edition_2013_tile.jpg?1448290592,Laphroaig Cairdeas 2013 Port Wood Edition,"Meaning “friendship” in Gaelic, Cairdeas was created for the Islay Whisky Festival back in 2013. This port wood edition is most notably characterized by its vibrant pink color. The distillery manager, John Campbell, uses 8-year first-fill used bourbon barrels and then finishes the whisky in half-butts or half-pipe port barrels (54 Gallons) for a further 16 months.  
"," Islay, Scotland
",https://distiller.com/spirits/laphroaig-cairdeas-feis-ile-2013-port-wood-edition,"
Laphroaig ",NAS
48.6%,https://ip.distiller.com/images/spirits/6487bd70-0e6b-0133-e253-2e14679c7ac6/the-last-drop-48-year-whisky_tile.jpg?1437582627,The Last Drop 48 Year Blended Scotch Whisky,"This 48 Year blended whisky is the 4th release from The Last Drop Distillers. The youngest whisky in the blend was distilled in 1965, with others reaching back even farther. Certain whiskies in the blend hail from distilleries which are long closed. In the 1980’s the whisky was re-casked to 1st-fill American bourbon barrels. This is sold in a display case which includes a mini bottle for sampling, if you prefer to keep the actual bottle intact and unopened as only 592 bottles were released. 
"," Scotland
",https://distiller.com/spirits/the-last-drop-48-year,"
The Last Drop ",48 Year
46.0%,https://ip.distiller.com/images/spirits/44c55490-9ddf-0132-9179-7ad5dbf985ab/balblair-1983-1st-release_tile.jpg?1429807283,Balblair 1983 1st Release,"Since 2007, Balblair distillery in the Scottish Highlands has been releasing each of their whiskeys as a separate vintage. While many of their whiskies are aged in a combination of casks, the 1983 vintage is matured exclusively in ex-bourbon barrels. It is non-chill filtered."," Highlands , Scotland
",https://distiller.com/spirits/balblair-1983-1st-release,"
Balblair ",NAS
43.4%,https://ip.distiller.com/images/spirits/252e54e0-8bb1-0132-ad01-3e18f3efae4e/hirsch-selection-28-year-bourbon_tile.jpg?1424363127,Hirsch Selection 28 Year Bourbon,"Hirsch is an independent company that source their whiskeys and there is no information given as to where this was distilled. As you can imagine, bourbon whiskey at this age is rare to come by so if you do spot this out in the wild, expect to pay a pretty penny.
"," Kentucky, USA
",https://distiller.com/spirits/hirsch-selection-28-year-bourbon,"
HIRSCH ",28 Year
58.5%,https://ip.distiller.com/images/spirits/48bfd220-8a37-0132-7e96-4a66c0808235/oban-21-year-cask-strength_tile.jpg?1422982385,Oban 21 Year Cask Strength,"Aged in rejuvenated American oak and 2nd-fill sherry casks this west Highland single malt is a treat. Oban has a rich history older than the town that bears its name; the distillery was established in 1794 while the town was officially known as Oban in 1811. It has only 2 pot stills making it one the smallest but most respected in Scotland. It has only been silent for 9 of its over 200 year history. Only 2860 bottles were released of which I'm drinking from no. 1329.
"," Highlands, Scotland
",https://distiller.com/spirits/oban-21-year,"
Oban ",21 Year
45.5%,https://ip.distiller.com/images/spirits/003bf770-6a0e-0132-c008-3e0d9b297f94/wild-turkey-diamond-anniversary_tile.jpg?1419870391,Wild Turkey Diamond Anniversary Bourbon,"This limited edition bottling was produced to honor the iconic Mr. Jimmy Russell, Master Distiller, as he celebrates his 60 year anniversary with Wild Turkey. 13 and 16 year-old whiskeys were hand-selected by his son, Eddie with whom he has worked with for the past 33 years. Bottled at 91 proof, this was released in August 2014. Cheers to you, Jimmy!"," Kentucky, USA
",https://distiller.com/spirits/wild-turkey-diamond-anniversary-bourbon,"
Wild Turkey ",NAS
64.1%,https://ip.distiller.com/images/spirits/57cb43f0-5a37-0131-4c3b-36b20afe4897/george-t-stagg-barrel-strength_tile.jpg?1389146842,George T. Stagg Bourbon (Fall 2013),"Aged 15 years, uncut and unfiltered, this is NOT a whiskey for the faint of heart. George T. Stagg is 1/5 of the Buffalo Trace Antique Collection and by far the most aggressive of the lot. Hot and angry out of this bottle, this whiskey blooms nicely with some water."," Kentucky, USA
",https://distiller.com/spirits/george-t-stagg-bourbon-fall-2013,"
Buffalo Trace ",15
47.5%,https://ip.distiller.com/images/spirits/08de7310-0096-0132-1cc1-0ea121e7e0fd/black-maple-hill-16-bourbon_tile.jpg?1416423027,Black Maple Hill 16 Year Bourbon,"Black Maple Hill is not a distillery, but whiskeys produced under a label that comprises bourbons and ryes from selected casks. This mature release is from casks aged 16 years before bottling."," Kentucky, USA
",https://distiller.com/spirits/black-maple-hill-16-year-bourbon,"
Black Maple Hill ",16 Years
46.0%,https://ip.distiller.com/images/spirits/634ba820-ec96-0133-379c-5277fea9ac89/teeling_platinum_reserve_30_year_single_malt_tile.jpg?1470077927,Teeling Platinum Reserve 30 Year Single Malt,"Distilled in 1983, the Teeling Platinum Reserve 30 year single malt release included just 250 bottles. Each sold for approximately 1,500 Euros, while the Dublin distillery offers its scant remaining drams for 115 Euros. The whiskey spent its entire 30 years of aging in ex-bourbon casks, a marked difference from Teeling's typical finishing processes. Review from bottle #147."," Ireland
",https://distiller.com/spirits/teeling-platinum-reserve-30-year-single-malt,"
Teeling ",30 Year
48.1%,https://ip.distiller.com/images/spirits/392862f0-595a-0131-f815-4ee0f0391393/highland_park_30_tile.jpg?1390851313,Highland Park 30 Year,"Unlike the 25 Year Old Highland Park which ages half of its whisky in 1st fill ex-sherry casks, the 30 Year Old is aged entirely in refill ex-sherry casks so as not to overwhelm the classic Highland Park signature."," Islands, Scotland
",https://distiller.com/spirits/highland-park-30,"
Highland Park ",30 Year
46.0%,https://ip.distiller.com/images/spirits/50ff04fe-3a49-488e-a49e-5c4ee863dad5/lark-distillers-selection_tile.jpg?1391701340,Lark Single Malt Distiller's Selection,"This Tasmanian whisky, like all their bottlings, use malt from the local Cascade Brewing Company. The peat used is obtained from Lark's own peat bogs. Australian-style port oak barrels are used for aging and are refashioned into quarter casks. All whiskies produced here are done so in single batches."," Tasmania, Australia
",https://distiller.com/spirits/lark-single-malt-distiller-s-selection,"
Lark ",
43.0%,https://ip.distiller.com/images/spirits/65141b7e-337d-437e-b034-3a62725751e8/yamazaki_18_tile.jpg?1497573962,Yamazaki 18 Year,"There is an art to blending the whiskies here.  Yes, this is a single malt distillery, but it is the variety of whiskies that are made here that make Yamazaki whisky special.  It is the variety of shapes and sizes of the stills, the variety in the sizes and kind of barrels used and it is the different ages chosen to make this whisky.  In this case, all are at least 18 years old, but some are much older.  Roughly 80% of the whisky is aged in Sherry cask with American and Mizunara casks used for the remaining 20%."," Honshu, Japan
",https://distiller.com/spirits/yamazaki-18,"
Yamazaki ",18 Year
40.0%,https://ip.distiller.com/images/spirits/9dc7e750-ff92-497b-9230-1ba3d7ee1347/bushmills_21_tile.jpg?1553547235,Bushmills 21 Year Single Malt,"The 21 year is comprised of two aged whiskeys:  one is matured only in ex-bourbon casks and the other in Oloroso Sherry casks. They are then removed from those casks to be joined together in casks previously containing Madeira wine.  They get nice and cozy for two years before being released into the world.  Very small production of 900 cases each year, this makes an excellent gift for loved ones (which should include yourselves)."," Ireland
",https://distiller.com/spirits/bushmills-21-year-old,"
Bushmills ",21 Year
43.0%,https://ip.distiller.com/images/spirits/bcc2521f-d4dc-49a5-a9bf-ec94ba2faa14/compass_box_headonism_blended_grain_scotch_whisky_new_bottle_tile.jpg?1447952873,Compass Box Hedonism,"You might be asking ""what is a grain whisky?""  In short, it is whisky distilled in a continuous still from a mixture of cereals, most typically wheat, corn, and barley.  These whiskies generally are sold very young to other blended whisky companies.  What Compass Box have done here is to take grain whiskies from a few different grain distilleries, on average 25 years old, and blended them together.  The result is superb."," Scotland
",https://distiller.com/spirits/compass-box-hedonism,"
Compass Box ",NAS
66.9%,https://ip.distiller.com/images/spirits/c5d55c60-3d10-0137-5806-56bd54c6e596/tribute_mister_sam_whiskey_tile.jpg?1554826596,Mister Sam Blended Whiskey (2019 Release),"Mister Sam Blended Whiskey is a limited release from the Sazerac Company which pays tribute to Sam Bronfman, the late Seagram's patriarch. Seagram's, based in Canada, was once the largest spirits company in the world. Today, Sazerac owns 15 iconic Seagram's brands and its former distillery in Montreal. This whiskey was crafted by Sazerac's master blender Drew Mayville who happened to also be the fourth and final master blender for Seagram's. This is a blend of American and Canadian whiskeys under the Sazerac umbrella of brands. This will be an annual release with the 2019 edition available in the US and Canada beginning April 2019."," Multiple Countries
",https://distiller.com/spirits/mister-sam-blended-whiskey-2019-release,"
Mister Sam ",NAS
54.9%,https://ip.distiller.com/images/spirits/408dba60-d08b-0136-7c3b-0ea9806d6b63/bunnahabhain_palo_cotrado_2005_tile.jpg?1544211163,Bunnahabhain 2005 Palo Cortado Cask Finish,"Bunnahabhain Palo Cortado Cask Finish was distilled in 2005 and spent its first years maturing in whisky refill casks. The single malt was then transferred to Palo Cortado casks on July 30, 2015 to finish its maturation before being bottled on April 26, 2018. Only 624 bottles were produced. "," Islay, Scotland
",https://distiller.com/spirits/bunnahabhain-2005-palo-cortado-cask-finish,"
Bunnahabhain ",NAS
45.0%,https://ip.distiller.com/images/spirits/f4a7f6f0-cdca-0136-8928-3adb6c31c25f/canadian_club_41_year_tile.jpg?1542592031,Canadian Club Chronicles 41 Year,"Canadian Club 41 Year is a limited edition Canadian whisky that was batched and barreled in 1977 and was blended with small additions of cognac, rye and sherry. As of 2018 it is the oldest whisky ever released by Canadian Club. It is the first limited edition release within the new Canadian Club series meant to pay homage to the brands history: CC Chronicles. As part of that series this release is also known as CC Chronicles Issue No. 1: Water of Windsor. The name pays homage to the brand's origin of Windsor, Ontario. It will be available across the United States in limited quantities as of November 2018 and is bottled at 45% ABV. "," Ontario, Canada
",https://distiller.com/spirits/canadian-club-41-year,"
Canadian Club ",41 Year
62.85%,https://ip.distiller.com/images/spirits/bd261670-9d83-0136-dc42-3e983e3ab871/btac_wlw_2018_tile.jpg?1537284435,William Larue Weller Bourbon (Fall 2018),"William Larue Weller (Fall 2018) is an uncut, unfiltered wheated bourbon and is one of the five whiskey releases in Buffalo Trace Antique Collection released each fall. This year's batch was distilled in winter 2006 and aged in Warehouses C, I, K, L, M, & Q. It is bottled at 125.7 proof."," Kentucky, USA
",https://distiller.com/spirits/william-larue-weller-fall-2018,"
William Larue Weller ",NAS
50.5%,https://ip.distiller.com/images/spirits/737060b0-7bf6-0136-4ba0-1e60f42cfb9f/old_forester_birthday_bourbon_2018_tile.jpg?1533594863,Old Forester Birthday Bourbon 2018,"This annual limited edition bourbon is set to release on the 2nd of September, the birthday of founder George Garvin Brown. This year's edition was hand-selected by master taster Jackie Zykan and is the first iteration to be bottled at the new Old Forester Distilling Co. in Louisville. It was produced from 120 barrels all distilled on a single day of production:  June 9, 2006. Aged for 12 years, the barrels were selected from the third floor from the northwest side of two warehouses; 93 from Warehouse J and 27 from Warehouse I. Only 2400 six-bottle cases were produced. Old Forester Birthday Bourbon 2018 is bottled at 101 proof, the highest proof to date for any Birthday Bourbon release."," Kentucky, USA
",https://distiller.com/spirits/old-forester-birthday-bourbon-2018,"
Old Forester ",12 Year
43.7%,https://ip.distiller.com/images/spirits/259b42d0-faf7-0135-c523-7aeaa209b160/bruichladdich_1984_32_tile.jpg?1519421181,Bruichladdich 1984/32 Bourbon: All In,"Released as part of a trio of Rare Cask Series bottles, this 32 year-old malt represents the last 12 casks of the 1984 vintage with barrels filled on the 31st of December that year. The unpeated single malt first started its maturation in refill bourbon barrels and hogshead casks being transferred to fresh bourbon casks in 2008 by then master distiller, Jim McEwan. Bottled without added color or chill-filtration at a cask strength of 43.7% ABV. Only 3000 bottles were released."," Islay, Scotland
",https://distiller.com/spirits/bruichladdich-1984-32-bourbon-all-in,"
Bruichladdich ",32 Year
53.5%,https://ip.distiller.com/images/spirits/ad253090-3038-0138-c93f-5a7395f175bf/redbreast_27_tile.jpg?1583436898,Redbreast 27 Year,"Redbreast 27 Year is a new permanent addition to the brand's portfolio which launched in March 2019. This single pot still whiskey will be made in limited quantities going forward. A portion of the distillate matured in ruby port casks while ex-bourbon and ex-oloroso sherry make up the rest of the blend. Aged for 27 years, Redbreast 27 is bottled at cask strength. "," Ireland
",https://distiller.com/spirits/redbreast-27-year,"
Redbreast ",27 Year
45.0%,https://ip.distiller.com/images/spirits/7e40dab0-904e-0135-6835-02630d562af3/canadian_club_40_tile.jpg?1507752780,Canadian Club 40 Year,"In 1977, Jack Farrell filled re-purposed char #4 American white oak barrels with corn spirit. Canadian Club didn’t know when or how they were going to release it until now. With Canada’s 150th birthday comes the perfect occasion for this special release. This also makes Canadian Club 40 Year the oldest Canadian whisky to date (October 2017) with 7,000 bottles across Canada."," Ontario, Canada
",https://distiller.com/spirits/canadian-club-40-year,"
Canadian Club ",40 Year
50.0%,https://ip.distiller.com/images/spirits/295b4be0-0eae-0136-3c85-3afdeb21867e/catocin_creek_rabble_rouser_tile.jpg?1521580401,Catoctin Creek Rabble Rouser Rye Whiskey,"This release from Catoctin Creek uses the same mash bill recipe as its Roundstone Rye whiskey (100% rye mash), but distills it at a lower proof for a fuller flavor profile. This is bottled in bond, so is distilled in one season. Bottled at 100 proof after four years of aging. Next release expected September 2018."," Virginia, USA
",https://distiller.com/spirits/catoctin-creek-rabble-rouser-rye-whiskey,"
Catoctin Creek ",NAS
46.0%,https://ip.distiller.com/images/spirits/6a585690-b6ec-0136-34c1-0e7b9454bec8/red_spot_tile.jpg?1542743733,Red Spot 15 Year Single Pot Still,"Red Spot 15 Year Single Pot Still is matured at least 15 years in a combination of American oak ex-bourbon, ex-sherry butts, and ex-Marsala wine casks. Red Spot was originally produced by the Mitchell family, fine wine & spirits purveyors based in Dublin who are still in business today. The family would mark the casks of whiskeys they aged in Dublin with a spot of colored paint. While the Green Spot and Yellow Spot have been revived, this is the first time for the Red Spot to be reintroduced. Available as of November 2018."," Ireland
",https://distiller.com/spirits/red-spot-15-year-single-pot-still,"
Spot Whiskey ",15 Year
